prot_00001	FIG00066425	308	45	308	DNA polymerase III beta subunit (EC 2.7.7.7)
prot_00047	FIG00000370	60	9	60	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)
prot_00048	FIG00049915	262	39	262	GTP-binding and nucleic acid-binding protein YchF
prot_00050	FIG00764513	53	8	53	sugar transferase
prot_00051	FIG00764513	121	17	121	sugar transferase
prot_00052	FIG00764513	20	4	20	sugar transferase
prot_00053	FIG00000177	152	23	152	Translation elongation factor P
prot_00054	FIG00834679	124	18	124	FIG00834682: hypothetical protein
prot_00055	FIG00834839	50	8	50	FIG00834840: hypothetical protein
prot_00056	FIG00834839	42	8	43	FIG00834840: hypothetical protein
prot_00059	FIG00000396	138	22	138	Uracil phosphoribosyltransferase (EC 2.4.2.9)
prot_00067	FIG00836057	309	46	309	membrane export protein family
prot_00069	FIG00836057	64	9	64	membrane export protein family
prot_00070	FIG00836057	67	10	67	membrane export protein family
prot_00071	FIG00836057	64	12	64	membrane export protein family
prot_00072	FIG00836057	112	17	112	membrane export protein family
prot_00073	FIG00836057	76	13	76	membrane export protein family
prot_00074	FIG00836057	43	6	43	membrane export protein family
prot_00075	FIG00836057	28	4	28	membrane export protein family
prot_00077	FIG01353026	20	3	21	FIG00837597: hypothetical protein
prot_00079	FIG00836057	31	5	31	membrane export protein family
prot_00080	FIG00836057	123	18	123	membrane export protein family
prot_00081	FIG00836057	48	7	48	membrane export protein family
prot_00085	FIG00836057	68	11	68	membrane export protein family
prot_00087	FIG00836057	211	33	212	membrane export protein family
prot_00088	FIG00836057	57	8	57	membrane export protein family
prot_00089		32	6	32	Glycerol uptake facilitator protein
prot_00091		53	9	53	Glycerol uptake facilitator protein
prot_00092	FIG00000655	126	19	126	Thymidine kinase (EC 2.7.1.21)
prot_00094	FIG00000087	103	15	104	Histidyl-tRNA synthetase (EC 6.1.1.21)
prot_00095	FIG00000087	58	12	58	Histidyl-tRNA synthetase (EC 6.1.1.21)
prot_00096	FIG00000087	31	5	31	Histidyl-tRNA synthetase (EC 6.1.1.21)
prot_00097	FIG00000750	117	17	117	Aspartyl-tRNA synthetase (EC 6.1.1.12)
prot_00098	FIG00000750	149	25	149	Aspartyl-tRNA synthetase (EC 6.1.1.12)
prot_00099	FIG00000750	95	15	95	Aspartyl-tRNA synthetase (EC 6.1.1.12)
prot_00100	FIG00002848	43	6	43	Nicotinamide phosphoribosyltransferase (EC 2.4.2.12)
prot_00101	FIG00002848	86	12	86	Nicotinamide phosphoribosyltransferase (EC 2.4.2.12)
prot_00102	FIG00002848	205	29	205	Nicotinamide phosphoribosyltransferase (EC 2.4.2.12)
prot_00103	FIG00836057	34	5	34	membrane export protein family
prot_00105	FIG00836057	121	17	121	membrane export protein family
prot_00106	FIG00836057	9	3	10	membrane export protein family
prot_00107	FIG00836057	73	10	73	membrane export protein family
prot_00108	FIG00836057	52	7	52	membrane export protein family
prot_00109	FIG00836057	225	32	225	membrane export protein family
prot_00110	FIG00836057	69	10	69	membrane export protein family
prot_00111	FIG00836057	38	6	38	membrane export protein family
prot_00112	FIG00075702	95	14	95	Glycerol kinase (EC 2.7.1.30)
prot_00113	FIG00075702	52	9	52	Glycerol kinase (EC 2.7.1.30)
prot_00115	FIG00075702	35	5	35	Glycerol kinase (EC 2.7.1.30)
prot_00116	FIG00075702	43	6	43	Glycerol kinase (EC 2.7.1.30)
prot_00117	FIG00229386	106	16	106	Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)
prot_00118	FIG00229386	25	4	25	Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)
prot_00119	FIG00229386	33	6	33	Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)
prot_00120	FIG00229386	49	8	49	Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)
prot_00121	FIG00485995	65	9	66	Nucleoside ABC transporter, periplasmic nucleoside-binding protein
prot_00122	FIG00485995	271	40	271	Nucleoside ABC transporter, periplasmic nucleoside-binding protein
prot_00123	FIG00485995	113	17	113	Nucleoside ABC transporter, periplasmic nucleoside-binding protein
prot_00126	FIG00836492	5	2	6	FIG00836494: hypothetical protein
prot_00131	FIG00007514	211	31	211	Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1)
prot_00132	FIG00007514	110	19	110	Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1)
prot_00133	FIG00004037	47	7	47	Spermidine Putrescine ABC transporter permease component PotB (TC 3.A.1.11.1)
prot_00134	FIG00004037	159	24	159	Spermidine Putrescine ABC transporter permease component PotB (TC 3.A.1.11.1)
prot_00135	FIG00003894	105	17	105	Spermidine Putrescine ABC transporter permease component potC (TC_3.A.1.11.1)
prot_00136	FIG00058663	75	11	75	Probable spermidine/putrescine substrate binding protein in Mollicutes
prot_00137	FIG00058663	245	35	245	Probable spermidine/putrescine substrate binding protein in Mollicutes
prot_00138	FIG00134348	157	24	157	TsaD/Kae1/Qri7 protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA
prot_00139	FIG00134348	85	12	85	TsaD/Kae1/Qri7 protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA
prot_00140	FIG00000329	62	9	62	S-adenosylmethionine synthetase (EC 2.5.1.6)
prot_00141	FIG00000329	174	24	174	S-adenosylmethionine synthetase (EC 2.5.1.6)
prot_00142	FIG00000329	31	4	31	S-adenosylmethionine synthetase (EC 2.5.1.6)
prot_00144	FIG00000113	54	8	54	Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)
prot_00145	FIG00000113	184	29	184	Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)
prot_00147	FIG00000113	43	8	43	Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)
prot_00148	FIG00000659	179	28	179	Purine nucleoside phosphorylase (EC 2.4.2.1)
prot_00149	FIG00000450	179	26	179	Deoxyribose-phosphate aldolase (EC 4.1.2.4)
prot_00153	FIG00000720	93	12	93	Cytidine deaminase (EC 3.5.4.5)
prot_00154	FIG01245035	223	33	223	D-Ribose 1,5-phosphomutase (EC 5.4.2.7)
prot_00155	FIG01245035	97	15	97	D-Ribose 1,5-phosphomutase (EC 5.4.2.7)
prot_00156	FIG01245035	67	10	67	D-Ribose 1,5-phosphomutase (EC 5.4.2.7)
prot_00157	FIG00000269	64	10	64	Transcription antitermination protein NusG
prot_00158	FIG00000269	58	9	58	Transcription antitermination protein NusG
prot_00159	FIG00000269	27	6	27	Transcription antitermination protein NusG
prot_00160	FIG00001219	104	16	104	Preprotein translocase subunit SecE (TC 3.A.5.1.1)
prot_00162	FIG00834430	75	11	75	FIG00834433: hypothetical protein
prot_00163	FIG00000260	226	33	226	rRNA small subunit methyltransferase I
prot_00164	FIG00001477	140	21	140	Ribonuclease M5 (EC 3.1.26.8)
prot_00165	FIG00096830	264	39	264	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)
prot_00166	FIG00000194	119	18	119	tmRNA-binding protein SmpB
prot_00167	FIG01535122	88	14	88	COG0463: Glycosyltransferases involved in cell wall biogenesis
prot_00168	FIG01535122	58	8	58	COG0463: Glycosyltransferases involved in cell wall biogenesis
prot_00169	FIG01535122	56	8	56	COG0463: Glycosyltransferases involved in cell wall biogenesis
prot_00170	FIG00836094	101	15	101	Uncharacterized protein MG061
prot_00171	FIG00836094	39	6	39	Uncharacterized protein MG061
prot_00172	FIG00836094	171	25	171	Uncharacterized protein MG061
prot_00173	FIG00836094	109	17	109	Uncharacterized protein MG061
prot_00174	FIG00836094	121	18	121	Uncharacterized protein MG061
prot_00175	FIG00836094	37	6	37	Uncharacterized protein MG061
prot_00180	FIG00460883	213	33	213	Tagatose-6-phosphate kinase (EC 2.7.1.144) / 1-phosphofructokinase (EC 2.7.1.56)
prot_00182	FIG00836946	300	44	300	FIG00836948: hypothetical protein
prot_00183	FIG00836946	74	10	74	FIG00836948: hypothetical protein
prot_00184	FIG00836946	63	11	63	FIG00836948: hypothetical protein
prot_00185	FIG00836946	40	6	40	FIG00836948: hypothetical protein
prot_00186	FIG00836946	139	21	139	FIG00836948: hypothetical protein
prot_00187	FIG00836946	271	43	271	FIG00836948: hypothetical protein
prot_00188	FIG00833878	337	50	337	glutamine transport ATP-binding protein
prot_00189		158	24	158	Transketolase (EC 2.2.1.1)
prot_00190		68	9	68	Transketolase (EC 2.2.1.1)
prot_00191		128	18	128	Transketolase (EC 2.2.1.1)
prot_00192		114	17	114	Transketolase (EC 2.2.1.1)
prot_00199	FIG01878609	35	6	36	adhesin P1 (group2) homolog
prot_00200	FIG01878609	56	10	56	adhesin P1 (group2) homolog
prot_00201	FIG01878609	45	8	45	adhesin P1 (group2) homolog
prot_00206	FIG00000494	49	7	49	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00207	FIG00000494	20	6	20	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00208	FIG00000494	88	14	88	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00210	FIG01878609	27	4	27	adhesin P1 (group2) homolog
prot_00211	FIG01878609	36	6	37	adhesin P1 (group2) homolog
prot_00222	FIG01660987	57	10	57	amino acid permeases
prot_00224	FIG01660987	24	5	25	amino acid permeases
prot_00225	FIG01321571	21	5	21	aa_permeases
prot_00226	FIG01321571	116	18	116	aa_permeases
prot_00227	FIG00837609	26	8	28	FIG00837614: hypothetical protein
prot_00228	FIG00837609	9	4	15	FIG00837614: hypothetical protein
prot_00243	FIG00000098	235	34	235	Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)
prot_00244	FIG00000116	194	29	194	Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)
prot_00245	FIG00000116	167	25	167	Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)
prot_00246	FIG00000116	96	15	96	Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)
prot_00247	FIG00000116	153	23	153	Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)
prot_00249	FIG00578350	33	5	33	type III restriction system endonuclease, putative
prot_00250	FIG00578350	50	7	50	type III restriction system endonuclease, putative
prot_00251	FIG00578350	34	5	34	type III restriction system endonuclease, putative
prot_00254	FIG00836573	239	33	239	FIG00836574: hypothetical protein
prot_00255	FIG00836573	34	5	34	FIG00836574: hypothetical protein
prot_00256	FIG00836573	52	7	53	FIG00836574: hypothetical protein
prot_00257	FIG00836573	64	10	64	FIG00836574: hypothetical protein
prot_00260	FIG00578350	31	5	31	type III restriction system endonuclease, putative
prot_00261	FIG00578350	57	9	57	type III restriction system endonuclease, putative
prot_00262	FIG00578350	79	11	79	type III restriction system endonuclease, putative
prot_00265	FIG00835172	101	15	101	FIG00835173: hypothetical protein
prot_00266	FIG00799788	7	2	8	Transporter, MFS superfamily
prot_00274	FIG00000206	109	17	109	Translation initiation factor 3
prot_00275	FIG00000206	41	6	41	Translation initiation factor 3
prot_00276	FIG00000259	44	7	44	LSU ribosomal protein L35p
prot_00277	FIG00000216	88	15	88	LSU ribosomal protein L20p
prot_00278	FIG00001474	192	28	192	Ribonuclease HIII (EC 3.1.26.4)
prot_00279	FIG00000070	183	28	183	Chaperone protein DnaJ
prot_00280	FIG00000070	183	29	183	Chaperone protein DnaJ
prot_00282	FIG00000070	177	24	177	Chaperone protein DnaJ
prot_00283	FIG00000103	112	17	112	Heat shock protein GrpE
prot_00284	FIG00000103	30	5	30	Heat shock protein GrpE
prot_00285	FIG00834596	83	14	83	FIG00834597: hypothetical protein
prot_00286	FIG00000439	349	56	349	Topoisomerase IV subunit B (EC 5.99.1.-)
prot_00287	FIG00000439	49	8	49	Topoisomerase IV subunit B (EC 5.99.1.-)
prot_00288	FIG00000425	49	9	49	Topoisomerase IV subunit A (EC 5.99.1.-)
prot_00289	FIG00000425	545	79	545	Topoisomerase IV subunit A (EC 5.99.1.-)
prot_00290	FIG00000544	58	10	58	Heat-inducible transcription repressor HrcA
prot_00291	FIG00000544	211	32	211	Heat-inducible transcription repressor HrcA
prot_00292	FIG00000185	273	39	273	Excinuclease ABC subunit C
prot_00293	FIG00000185	184	27	184	Excinuclease ABC subunit C
prot_00294	FIG00834192	124	17	124	COG0622: Predicted phosphoesterase
prot_00308	FIG00638782	107	16	107	Lipoprotein
prot_00309	FIG00638782	69	11	69	Lipoprotein
prot_00310	FIG00007025	61	11	61	Multiple sugar ABC transporter, ATP-binding protein
prot_00311	FIG00007025	78	14	78	Multiple sugar ABC transporter, ATP-binding protein
prot_00312	FIG00007025	100	17	100	Multiple sugar ABC transporter, ATP-binding protein
prot_00313	FIG00007025	32	6	32	Multiple sugar ABC transporter, ATP-binding protein
prot_00314	FIG01231318	70	11	70	N-Acetyl-D-glucosamine ABC transport system, permease protein
prot_00315	FIG01231318	118	18	118	N-Acetyl-D-glucosamine ABC transport system, permease protein
prot_00316	FIG00482249	75	11	75	ABC transporter permease protein
prot_00317	FIG00482249	32	4	32	ABC transporter permease protein
prot_00318	FIG00482249	43	7	43	ABC transporter permease protein
prot_00323	FIG01353026	12	2	14	FIG00837597: hypothetical protein
prot_00325		54	8	54	FIG146085: 3'-to-5' oligoribonuclease A, Bacillus type
prot_00326		88	13	88	FIG146085: 3'-to-5' oligoribonuclease A, Bacillus type
prot_00327		114	16	114	FIG146085: 3'-to-5' oligoribonuclease A, Bacillus type
prot_00353	FIG00837609	14	3	16	FIG00837614: hypothetical protein
prot_00354	FIG00837609	13	6	16	FIG00837614: hypothetical protein
prot_00357	FIG00836492	45	8	46	FIG00836494: hypothetical protein
prot_00365	FIG01353026	8	3	10	FIG00837597: hypothetical protein
prot_00366	FIG00837609	27	7	29	FIG00837614: hypothetical protein
prot_00367	FIG00837609	3	2	5	FIG00837614: hypothetical protein
prot_00368	FIG00837609	24	8	26	FIG00837614: hypothetical protein
prot_00369	FIG00837609	5	2	7	FIG00837614: hypothetical protein
prot_00370	FIG01310944	54	8	54	Superfamily I DNA and RNA helicases and helicase subunits
prot_00371	FIG01310944	245	35	246	Superfamily I DNA and RNA helicases and helicase subunits
prot_00372	FIG01310944	54	8	54	Superfamily I DNA and RNA helicases and helicase subunits
prot_00373	FIG01310944	179	27	179	Superfamily I DNA and RNA helicases and helicase subunits
prot_00374	FIG01310944	27	4	27	Superfamily I DNA and RNA helicases and helicase subunits
prot_00375	FIG01310944	152	23	152	Superfamily I DNA and RNA helicases and helicase subunits
prot_00376	FIG00000168	170	25	170	Transcription termination protein NusA
prot_00377	FIG00000168	51	8	51	Transcription termination protein NusA
prot_00378	FIG00000168	190	27	190	Transcription termination protein NusA
prot_00380	FIG00000102	479	72	479	Translation initiation factor 2
prot_00381	FIG00000164	86	14	86	Ribosome-binding factor A
prot_00384	FIG00000220	127	19	127	Riboflavin kinase (EC 2.7.1.26) / FMN adenylyltransferase (EC 2.7.7.2)
prot_00385	FIG00000220	76	11	76	Riboflavin kinase (EC 2.7.1.26) / FMN adenylyltransferase (EC 2.7.7.2)
prot_00386	FIG00042627	111	17	111	Magnesium and cobalt efflux protein CorC
prot_00387	FIG00042627	167	24	167	Magnesium and cobalt efflux protein CorC
prot_00388	FIG00836374	190	29	190	FIG00836376: hypothetical protein
prot_00389	FIG00836374	79	11	79	FIG00836376: hypothetical protein
prot_00390	FIG00834279	63	10	63	FIG00834281: hypothetical protein
prot_00391	FIG00834279	29	5	29	FIG00834281: hypothetical protein
prot_00392	FIG00834279	196	28	196	FIG00834281: hypothetical protein
prot_00393	FIG00834441	85	14	85	FIG00834442: hypothetical protein
prot_00394	FIG00834441	145	20	145	FIG00834442: hypothetical protein
prot_00395	FIG00834979	93	15	93	FIG00834980: hypothetical protein
prot_00396	FIG00001107	77	13	77	SSU ribosomal protein S10p (S20e)
prot_00397	FIG00001818	224	33	224	LSU ribosomal protein L3p (L3e)
prot_00398	FIG00000263	28	5	28	LSU ribosomal protein L4p (L1e)
prot_00399	FIG00000263	87	13	87	LSU ribosomal protein L4p (L1e)
prot_00400	FIG01287595	152	27	152	LSU ribosomal protein L23p (L23Ae) / hypothetical protein
prot_00401	FIG00000223	216	33	216	LSU ribosomal protein L2p (L8e)
prot_00402	FIG00000199	67	10	67	SSU ribosomal protein S19p (S15e)
prot_00403	FIG00000219	130	19	130	LSU ribosomal protein L22p (L17e)
prot_00404	FIG00000218	161	24	161	SSU ribosomal protein S3p (S3e)
prot_00405	FIG00001132	100	15	100	LSU ribosomal protein L16p (L10e)
prot_00406	FIG00015729	45	7	45	LSU ribosomal protein L29p (L35e)
prot_00407	FIG00000181	70	10	70	SSU ribosomal protein S17p (S11e)
prot_00408	FIG00090781	66	13	66	LSU ribosomal protein L14p (L23e)
prot_00409	FIG00000198	85	13	85	LSU ribosomal protein L24p (L26e)
prot_00410	FIG00000174	137	20	137	LSU ribosomal protein L5p (L11e)
prot_00412	FIG00000153	106	17	106	SSU ribosomal protein S8p (S15Ae)
prot_00413	FIG00001577	120	18	120	LSU ribosomal protein L6p (L9e)
prot_00414	FIG00000200	86	12	86	LSU ribosomal protein L18p (L5e)
prot_00415	FIG00000155	169	25	169	SSU ribosomal protein S5p (S2e)
prot_00416	FIG00000166	112	17	112	LSU ribosomal protein L15p (L27Ae)
prot_00417	FIG00937056	365	57	365	Preprotein translocase secY subunit (TC 3.A.5.1.1)
prot_00418	FIG00000089	170	26	170	Adenylate kinase (EC 2.7.4.3)
prot_00419	FIG00000036	209	30	209	Methionine aminopeptidase (EC 3.4.11.18)
prot_00420	FIG00000143	59	9	59	Translation initiation factor 1
prot_00421	FIG01964446	21	3	21	LSU ribosomal protein L36p
prot_00422	FIG00000160	60	9	60	SSU ribosomal protein S13p (S18e)
prot_00423	FIG00055673	60	9	60	SSU ribosomal protein S11p (S14e)
prot_00424	FIG00000140	88	13	88	DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)
prot_00425	FIG00000140	169	26	169	DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)
prot_00426	FIG00000154	82	12	82	LSU ribosomal protein L17p
prot_00427	FIG00013638	188	30	188	ATPase component of general energizing module of ECF transporters
prot_00428	FIG00013638	219	33	219	ATPase component of general energizing module of ECF transporters
prot_00429	FIG00024851	87	13	87	Transmembrane component of general energizing module of ECF transporters
prot_00430	FIG00024851	127	18	127	Transmembrane component of general energizing module of ECF transporters
prot_00431	FIG00024851	106	17	106	Transmembrane component of general energizing module of ECF transporters
prot_00432	FIG00000093	54	8	54	tRNA pseudouridine synthase A (EC 4.2.1.70)
prot_00433	FIG00000093	92	13	93	tRNA pseudouridine synthase A (EC 4.2.1.70)
prot_00434	FIG00628107	48	7	48	Oligoendopeptidase F (EC 3.4.24.-)
prot_00435	FIG00628107	52	8	52	Oligoendopeptidase F (EC 3.4.24.-)
prot_00436	FIG00628107	102	14	102	Oligoendopeptidase F (EC 3.4.24.-)
prot_00437	FIG00628107	167	25	167	Oligoendopeptidase F (EC 3.4.24.-)
prot_00438	FIG00834964	119	18	119	adenine-specific methyltransferase EcoRI
prot_00439	FIG00834964	37	5	37	adenine-specific methyltransferase EcoRI
prot_00440	FIG00834964	53	8	53	adenine-specific methyltransferase EcoRI
prot_00441	FIG00837609	187	29	188	FIG00837614: hypothetical protein
prot_00442	FIG00837609	211	30	211	FIG00837614: hypothetical protein
prot_00443	FIG00837609	40	6	42	FIG00837614: hypothetical protein
prot_00444	FIG00837609	216	32	216	FIG00837614: hypothetical protein
prot_00445	FIG00837609	305	43	305	FIG00837614: hypothetical protein
prot_00446	FIG00837609	63	10	63	FIG00837614: hypothetical protein
prot_00447	FIG00000494	24	4	24	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00448	FIG00000494	118	16	118	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00449	FIG00000494	37	6	37	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00459	FIG00834478	36	6	36	PTS system, glucose-specific IIABC component (ptsG)
prot_00460	FIG00834478	70	12	70	PTS system, glucose-specific IIABC component (ptsG)
prot_00461	FIG00834478	33	5	33	PTS system, glucose-specific IIABC component (ptsG)
prot_00462	FIG00834478	101	17	101	PTS system, glucose-specific IIABC component (ptsG)
prot_00463	FIG00834478	286	46	286	PTS system, glucose-specific IIABC component (ptsG)
prot_00464	FIG00037273	88	13	88	SSU ribosomal protein S2p (SAe)
prot_00465	FIG00037273	140	22	140	SSU ribosomal protein S2p (SAe)
prot_00468	FIG01322067	116	20	116	Cation-transporting ATPase, E1-E2 family
prot_00469	FIG01322067	202	32	202	Cation-transporting ATPase, E1-E2 family
prot_00470	FIG01322067	93	14	93	Cation-transporting ATPase, E1-E2 family
prot_00471	FIG01322067	48	8	48	Cation-transporting ATPase, E1-E2 family
prot_00472	FIG01322067	38	7	38	Cation-transporting ATPase, E1-E2 family
prot_00473	FIG00034293	579	85	579	Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)
prot_00474	FIG00034293	49	8	49	Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)
prot_00475	FIG00000146	518	77	518	Excinuclease ABC subunit B
prot_00476	FIG00835757	114	16	114	FIG00835758: hypothetical protein
prot_00477	FIG00835299	767	116	767	FIG00835300: hypothetical protein
prot_00478	FIG00835299	45	6	45	FIG00835300: hypothetical protein
prot_00479	FIG00834467	61	9	61	FIG00834468: hypothetical protein
prot_00480	FIG00834467	58	8	58	FIG00834468: hypothetical protein
prot_00481	FIG00945384	46	7	46	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)
prot_00482	FIG00945384	183	28	183	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)
prot_00483	FIG00945384	44	6	44	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)
prot_00484	FIG00455853	37	5	37	Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)
prot_00485	FIG00455853	67	12	68	Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)
prot_00486	FIG00455853	53	9	53	Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)
prot_00487	FIG00455853	51	10	51	Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)
prot_00488	FIG00018865	5	2	5	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)
prot_00490	FIG00018865	178	27	178	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)
prot_00491	FIG00018865	269	39	269	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)
prot_00492	FIG00018865	34	5	34	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)
prot_00493	FIG00018865	115	18	115	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)
prot_00494	FIG00000182	94	15	94	LSU ribosomal protein L11p (L12e)
prot_00495	FIG00000264	70	12	70	LSU ribosomal protein L1p (L10Ae)
prot_00496	FIG00000264	75	12	75	LSU ribosomal protein L1p (L10Ae)
prot_00497	FIG00000151	54	9	54	Peptidyl-tRNA hydrolase (EC 3.1.1.29)
prot_00498	FIG00000151	74	11	74	Peptidyl-tRNA hydrolase (EC 3.1.1.29)
prot_00499		57	8	57	tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)
prot_00500		77	11	77	tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)
prot_00501	FIG00004170	248	36	248	HPr kinase/phosphorylase (EC 2.7.1.-) (EC 2.7.4.-)
prot_00502	FIG00000985	221	32	221	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)
prot_00503	FIG00000985	49	7	49	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)
prot_00504	FIG00000203	99	17	99	SSU ribosomal protein S12p (S23e)
prot_00505	FIG00000209	83	12	83	SSU ribosomal protein S7p (S5e)
prot_00506	FIG00000209	33	6	33	SSU ribosomal protein S7p (S5e)
prot_00507		60	11	60	Translation elongation factor G
prot_00508		356	62	356	Translation elongation factor G
prot_00509	FIG00000170	177	26	177	SSU ribosomal protein S6p
prot_00510	FIG00077620	135	19	135	Single-stranded DNA-binding protein
prot_00512	FIG00000205	126	18	126	LSU ribosomal protein L9p
prot_00513	FIG00061313	168	25	168	Replicative DNA helicase (EC 3.6.1.-)
prot_00514	FIG00061313	191	29	191	Replicative DNA helicase (EC 3.6.1.-)
prot_00515	FIG00835157	88	15	88	FIG00835158: hypothetical protein
prot_00516	FIG00835157	178	25	178	FIG00835158: hypothetical protein
prot_00517	FIG00835157	41	6	41	FIG00835158: hypothetical protein
prot_00518	FIG00836057	278	40	278	membrane export protein family
prot_00519	FIG00836057	44	7	44	membrane export protein family
