prot_00001	FIG00042616	94	13	94	Dihydroxyacetone kinase family protein
prot_00042	FIG00129616	69	10	69	GTP-binding protein EngA
prot_00043	FIG00129616	181	28	181	GTP-binding protein EngA
prot_00044	FIG00129616	20	4	20	GTP-binding protein EngA
prot_00045	FIG00472150	36	6	36	Competence protein
prot_00046	FIG00472150	85	12	85	Competence protein
prot_00047	FIG00472150	34	5	34	Competence protein
prot_00048	FIG00000547	115	17	115	Cell division protein MraZ
prot_00049	FIG00000172	101	15	101	rRNA small subunit methyltransferase H
prot_00050	FIG00000172	143	22	143	rRNA small subunit methyltransferase H
prot_00051	FIG01195527	339	48	339	Unique hypothetical protein UU387
prot_00052	FIG01638000	68	14	69	unique hypothetical
prot_00053	FIG01406233	16	5	17	unique hypothetical
prot_00054	FIG01310944	124	18	124	Superfamily I DNA and RNA helicases and helicase subunits
prot_00055	FIG01310944	255	38	255	Superfamily I DNA and RNA helicases and helicase subunits
prot_00056	FIG01310944	119	18	119	Superfamily I DNA and RNA helicases and helicase subunits
prot_00058	FIG01310944	61	9	61	Superfamily I DNA and RNA helicases and helicase subunits
prot_00059	FIG01310944	290	43	290	Superfamily I DNA and RNA helicases and helicase subunits
prot_00061	FIG01421278	32	9	33	unique hypothetical
prot_00062	FIG00025216	109	19	109	ClpB protein
prot_00063	FIG00025216	232	42	232	ClpB protein
prot_00064	FIG01195960	78	12	78	ABC transporter, permease component (Na+?)
prot_00065	FIG01195960	82	12	82	ABC transporter, permease component (Na+?)
prot_00067	FIG01195960	36	5	36	ABC transporter, permease component (Na+?)
prot_00068	FIG01195844	42	7	42	Holo-[acyl-carrier-protein] synthase (EC 2.7.8.7)
prot_00069	FIG00834270	23	6	24	FIG065159: hypothetical 2 cooccurring with ATP synthase chains
prot_00071	FIG01357272	19	4	20	unique hypothetical
prot_00072	FIG00001474	52	8	52	Ribonuclease HIII (EC 3.1.26.4)
prot_00073	FIG00001474	101	15	101	Ribonuclease HIII (EC 3.1.26.4)
prot_00074	FIG00834270	60	13	61	FIG065159: hypothetical 2 cooccurring with ATP synthase chains
prot_00075	FIG01195701	37	6	37	ABC transporter, permease component
prot_00077	FIG01195701	28	5	28	ABC transporter, permease component
prot_00078	FIG01195701	43	7	43	ABC transporter, permease component
prot_00079	FIG01195701	39	7	39	ABC transporter, permease component
prot_00080	FIG01195701	104	17	104	ABC transporter, permease component
prot_00081	FIG01195751	94	13	94	putative ABC substrate-binding protein - iron
prot_00082	FIG01195751	50	7	50	putative ABC substrate-binding protein - iron
prot_00083	FIG01195751	123	19	123	putative ABC substrate-binding protein - iron
prot_00084	FIG00000626	165	25	165	tRNA-specific 2-thiouridylase MnmA
prot_00085	FIG00000626	53	9	53	tRNA-specific 2-thiouridylase MnmA
prot_00086	FIG01195946	140	21	140	FIG01195947: hypothetical protein
prot_00087	FIG01195946	45	7	45	FIG01195947: hypothetical protein
prot_00090	FIG00000459	164	24	164	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY
prot_00091	FIG01195768	72	10	72	FIG01195769: hypothetical protein
prot_00092	FIG01195768	33	5	33	FIG01195769: hypothetical protein
prot_00093	FIG01195768	28	4	28	FIG01195769: hypothetical protein
prot_00094	FIG00000103	167	25	167	Heat shock protein GrpE
prot_00095	FIG00000070	283	44	283	Chaperone protein DnaJ
prot_00096	FIG01196467	36	5	36	unique hypothetical
prot_00098	FIG01195683	27	4	27	FIG01195685: hypothetical protein
prot_00099	FIG00000085	22	4	22	Isoleucyl-tRNA synthetase (EC 6.1.1.5)
prot_00100	FIG00000085	36	5	36	Isoleucyl-tRNA synthetase (EC 6.1.1.5)
prot_00101	FIG00000085	77	11	77	Isoleucyl-tRNA synthetase (EC 6.1.1.5)
prot_00102	FIG00000085	35	5	35	Isoleucyl-tRNA synthetase (EC 6.1.1.5)
prot_00103	FIG00000085	32	5	32	Isoleucyl-tRNA synthetase (EC 6.1.1.5)
prot_00104	FIG00134348	140	20	140	TsaD/Kae1/Qri7 protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA
prot_00105	FIG00000329	64	9	64	S-adenosylmethionine synthetase (EC 2.5.1.6)
prot_00106	FIG00000329	113	17	113	S-adenosylmethionine synthetase (EC 2.5.1.6)
prot_00107	FIG00000329	31	4	31	S-adenosylmethionine synthetase (EC 2.5.1.6)
prot_00108	FIG00035634	142	20	142	Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)
prot_00109	FIG00035634	72	10	72	Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)
prot_00110	FIG01306991	148	25	148	Probable 5'-3' exonuclease Bsu YpcP
prot_00111	FIG00008411	165	24	165	DNA polymerase III alpha subunit (EC 2.7.7.7)
prot_00112	FIG00008411	63	9	63	DNA polymerase III alpha subunit (EC 2.7.7.7)
prot_00113	FIG00008411	409	59	409	DNA polymerase III alpha subunit (EC 2.7.7.7)
prot_00114	FIG00008411	69	10	69	DNA polymerase III alpha subunit (EC 2.7.7.7)
prot_00115	FIG01196026	48	8	48	FIG01196028: hypothetical protein
prot_00116	FIG00002194	17	4	17	FIG146085: 3'-to-5' oligoribonuclease A, Bacillus type
prot_00117	FIG00002194	145	21	145	FIG146085: 3'-to-5' oligoribonuclease A, Bacillus type
prot_00118	FIG00142893	298	44	298	tRNA S(4)U 4-thiouridine synthase (former ThiI)
prot_00119	FIG01195566	44	7	44	FIG01195567: hypothetical protein
prot_00120	FIG01195566	49	9	49	FIG01195567: hypothetical protein
prot_00121	FIG01195566	44	6	44	FIG01195567: hypothetical protein
prot_00122	FIG01195598	124	20	124	FIG01195599: hypothetical protein
prot_00123	FIG00000544	222	33	222	Heat-inducible transcription repressor HrcA
prot_00124	FIG00000544	40	7	40	Heat-inducible transcription repressor HrcA
prot_00127	FIG00002395	47	7	47	Cysteinyl-tRNA synthetase related protein
prot_00128	FIG00002395	39	6	39	Cysteinyl-tRNA synthetase related protein
prot_00129	FIG00834270	53	13	54	FIG065159: hypothetical 2 cooccurring with ATP synthase chains
prot_00132	FIG01466370	26	5	27	unique hypothetical
prot_00133	FIG01195900	105	15	105	Ferritin-like protein Rsg
prot_00134	FIG00001113	99	14	99	Urease accessory protein UreD
prot_00135	FIG00001113	130	19	130	Urease accessory protein UreD
prot_00136	FIG00001001	145	23	145	Urease accessory protein UreG
prot_00137	FIG00001025	118	18	118	Urease accessory protein UreF
prot_00138	FIG00001025	52	8	52	Urease accessory protein UreF
prot_00139	FIG00001136	117	18	117	Urease accessory protein UreE
prot_00140	FIG00002050	63	9	63	Urease alpha subunit (EC 3.5.1.5)
prot_00141	FIG00002050	25	4	25	Urease alpha subunit (EC 3.5.1.5)
prot_00142	FIG00002050	79	11	79	Urease alpha subunit (EC 3.5.1.5)
prot_00143	FIG00002050	57	9	57	Urease alpha subunit (EC 3.5.1.5)
prot_00144	FIG00001042	79	12	79	Urease beta subunit (EC 3.5.1.5)
prot_00145	FIG00010604	52	10	52	Urease gamma subunit (EC 3.5.1.5)
prot_00146	FIG01195928	36	8	37	Ferrichrome transport ATP-binding protein FhuC (TC 3.A.1.14.3)
prot_00147	FIG01196265	106	18	107	Ferrichrome transport ATP-binding protein FhuC (TC 3.A.1.14.3)
prot_00148	FIG00001125	198	30	198	RNA binding methyltransferase FtsJ like
prot_00149	FIG00023943	305	43	305	DNA polymerase IV (EC 2.7.7.7)
prot_00150	FIG00000352	23	3	23	Holliday junction DNA helicase RuvB
prot_00151	FIG00834270	40	8	41	FIG065159: hypothetical 2 cooccurring with ATP synthase chains
prot_00152	FIG01195456	47	7	47	unique hypothetical membrane lipoprotein
prot_00153	FIG01195456	73	11	73	unique hypothetical membrane lipoprotein
prot_00154	FIG00834848	138	20	140	Subtilisin-like serine protease (EC 3.4.21.-)
prot_00155	FIG00834848	48	7	48	Subtilisin-like serine protease (EC 3.4.21.-)
prot_00160	FIG01196187	72	12	72	FIG01196196: hypothetical protein
prot_00162	FIG01195989	9	2	9	FIG01195993: hypothetical protein
prot_00163	FIG01195574	97	14	97	FIG01195632: hypothetical protein
prot_00164	FIG00000494	146	23	146	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00165	FIG00000352	178	26	178	Holliday junction DNA helicase RuvB
prot_00166	FIG00000352	75	12	75	Holliday junction DNA helicase RuvB
prot_00167	FIG00000314	119	17	119	Holliday junction DNA helicase RuvA
prot_00168	FIG01195723	63	9	63	FIG01195726: hypothetical protein
prot_00169	FIG01195723	54	8	54	FIG01195726: hypothetical protein
prot_00171	FIG01195881	11	3	13	unique hypothetical
prot_00172	FIG01196546	11	3	12	unique hypothetical
prot_00173	FIG01955779	205	30	205	Prolyl-tRNA synthetase (EC 6.1.1.15), archaeal/eukaryal type
prot_00174	FIG01955779	74	11	74	Prolyl-tRNA synthetase (EC 6.1.1.15), archaeal/eukaryal type
prot_00175	FIG00000306	136	19	136	Putative iron-sulfur cluster assembly scaffold protein for SUF system, SufE2
prot_00176	FIG00229199	195	29	195	Cysteine desulfurase (EC 2.8.1.7), SufS subfamily
prot_00177	FIG00229199	32	6	32	Cysteine desulfurase (EC 2.8.1.7), SufS subfamily
prot_00178	FIG01196715	8	3	10	Flagellar hook-length control protein FliK
prot_00180	FIG01196377	32	8	33	Flagellar hook-length control protein FliK
prot_00181	FIG01195954	71	14	72	Flagellar hook-length control protein FliK
prot_00182	FIG00000047	177	26	177	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)
prot_00183	FIG00000116	424	62	424	Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)
prot_00184	FIG00000116	48	7	48	Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)
prot_00185	FIG00000116	69	10	69	Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)
prot_00186	FIG00000098	44	6	44	Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)
prot_00187	FIG00000098	37	5	37	Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)
prot_00188	FIG00000098	103	14	103	Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)
prot_00189	FIG00000098	64	10	64	Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)
prot_00191	FIG00000590	210	31	210	NAD synthetase (EC 6.3.1.5)
prot_00192	FIG00000169	200	30	200	GTP-binding protein Obg
prot_00193	FIG01196448	30	5	31	unique hypothetical
prot_00196	FIG00000112	263	36	263	Methionyl-tRNA formyltransferase (EC 2.1.2.9)
prot_00197	FIG01195497	74	11	74	FIG01195498: hypothetical protein
prot_00198	FIG01195497	27	6	27	FIG01195498: hypothetical protein
prot_00199	FIG00000439	7	2	7	Topoisomerase IV subunit B (EC 5.99.1.-)
prot_00200	FIG00000439	27	5	27	Topoisomerase IV subunit B (EC 5.99.1.-)
prot_00201	FIG00000439	68	11	68	Topoisomerase IV subunit B (EC 5.99.1.-)
prot_00202	FIG00000439	121	22	121	Topoisomerase IV subunit B (EC 5.99.1.-)
prot_00203	FIG00000425	37	6	37	Topoisomerase IV subunit A (EC 5.99.1.-)
prot_00204	FIG00000425	246	38	246	Topoisomerase IV subunit A (EC 5.99.1.-)
prot_00205	FIG00000425	81	12	81	Topoisomerase IV subunit A (EC 5.99.1.-)
prot_00206	FIG00000425	197	29	197	Topoisomerase IV subunit A (EC 5.99.1.-)
prot_00207	FIG00001499	293	43	293	GTP-binding protein YqeH, required for biogenesis of 30S ribosome subunit
prot_00208	FIG00068973	93	13	93	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) / Hydrolase (HAD superfamily), YqeK
prot_00209	FIG00068973	24	4	24	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) / Hydrolase (HAD superfamily), YqeK
prot_00210	FIG00068973	44	6	44	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) / Hydrolase (HAD superfamily), YqeK
prot_00213	FIG00834270	54	9	54	FIG065159: hypothetical 2 cooccurring with ATP synthase chains
prot_00214	FIG01195459	78	12	78	FIG01195460: hypothetical protein
prot_00215	FIG01195459	65	11	65	FIG01195460: hypothetical protein
prot_00218	FIG01195431	38	7	38	FIG01195433: hypothetical protein
prot_00219	FIG01195431	15	2	15	FIG01195433: hypothetical protein
prot_00220	FIG01195431	22	3	22	FIG01195433: hypothetical protein
prot_00221	FIG01195431	61	9	61	FIG01195433: hypothetical protein
prot_00222	FIG01195431	51	8	51	FIG01195433: hypothetical protein
prot_00223	FIG01195606	8	2	8	reticulocyte-binding protein, putative
prot_00224	FIG01196111	11	3	12	FIG01196112: hypothetical protein
prot_00226	FIG00000494	38	5	38	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00228	FIG00000494	34	5	34	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00229	FIG00000494	56	10	56	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00230	FIG00000494	102	15	102	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00231	FIG01195526	28	5	28	hypothetical protein
prot_00233	FIG01196127	19	4	19	FIG01196128: hypothetical protein
prot_00234	FIG01196127	115	18	116	FIG01196128: hypothetical protein
prot_00235	FIG01196127	15	2	15	FIG01196128: hypothetical protein
prot_00236	FIG01196619	40	7	40	putative lipoprotein
prot_00237	FIG01196731	87	14	87	putative lipoprotein
prot_00238	FIG01195840	174	27	175	putative lipoprotein
prot_00240	FIG01195908	32	5	32	FIG01195909: hypothetical protein
prot_00242	FIG01195908	42	8	43	FIG01195909: hypothetical protein
prot_00243	FIG01195908	15	3	15	FIG01195909: hypothetical protein
prot_00244	FIG01195908	73	11	73	FIG01195909: hypothetical protein
prot_00245	FIG01195908	126	18	126	FIG01195909: hypothetical protein
prot_00246	FIG01195908	31	5	31	FIG01195909: hypothetical protein
prot_00247	FIG01195908	196	28	196	FIG01195909: hypothetical protein
prot_00249	FIG01195908	137	19	137	FIG01195909: hypothetical protein
prot_00250	FIG01195908	90	13	90	FIG01195909: hypothetical protein
prot_00251	FIG01195908	27	4	27	FIG01195909: hypothetical protein
prot_00253	FIG01195908	138	20	138	FIG01195909: hypothetical protein
prot_00255	FIG01195908	369	57	369	FIG01195909: hypothetical protein
prot_00257	FIG01195440	36	6	36	FIG01195441: hypothetical protein
prot_00258	FIG01195440	82	14	82	FIG01195441: hypothetical protein
prot_00259	FIG00067248	302	43	302	Acetate kinase (EC 2.7.2.1)
prot_00260	FIG01196219	131	20	133	unique hypothetical
prot_00261	FIG01196282	90	15	91	unique hypothetical
prot_00262	FIG01195500	36	5	36	MEMBRANE NUCLEASE
prot_00263	FIG01195500	180	25	180	MEMBRANE NUCLEASE
prot_00264	FIG01195500	34	5	34	MEMBRANE NUCLEASE
prot_00265	FIG01195500	41	7	41	MEMBRANE NUCLEASE
prot_00268	FIG01195732	32	5	32	FIG01195733: hypothetical protein
prot_00270	FIG01195732	60	10	60	FIG01195733: hypothetical protein
prot_00271	FIG01195732	83	15	84	FIG01195733: hypothetical protein
prot_00272	FIG01195732	53	10	53	FIG01195733: hypothetical protein
prot_00273	FIG00000277	126	19	126	Adenine phosphoribosyltransferase (EC 2.4.2.7)
prot_00274	FIG01195613	19	4	19	FIG01195614: hypothetical protein
prot_00275	FIG01195613	41	7	41	FIG01195614: hypothetical protein
prot_00276	FIG01195613	105	17	105	FIG01195614: hypothetical protein
prot_00277	FIG01195613	28	4	28	FIG01195614: hypothetical protein
prot_00278	FIG01195613	43	6	43	FIG01195614: hypothetical protein
prot_00279	FIG01195613	102	15	102	FIG01195614: hypothetical protein
prot_00281	FIG00000233	130	18	130	Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly
prot_00282	FIG01304818	238	33	238	GTP-binding protein Era
prot_00283	FIG00000315	172	23	172	DNA recombination and repair protein RecO
prot_00285	FIG00001189	70	10	70	Glycyl-tRNA synthetase (EC 6.1.1.14)
prot_00286	FIG00001189	65	10	65	Glycyl-tRNA synthetase (EC 6.1.1.14)
prot_00287	FIG00019251	36	6	36	DNA primase (EC 2.7.7.-)
prot_00288	FIG00019251	330	47	330	DNA primase (EC 2.7.7.-)
prot_00289	FIG00019251	26	4	26	DNA primase (EC 2.7.7.-)
prot_00291	FIG01195530	48	7	48	protein kinase, putative
prot_00292		71	10	71	protein kinase, putative
prot_00293	FIG01195530	150	21	150	protein kinase, putative
prot_00294		143	21	143	protein kinase, putative
prot_00295	FIG01195530	52	9	52	protein kinase, putative
prot_00296	FIG01195530	72	11	72	protein kinase, putative
prot_00297	FIG01195530	69	10	69	protein kinase, putative
prot_00298	FIG01195530	37	6	37	protein kinase, putative
prot_00299	FIG01195530	298	41	298	protein kinase, putative
prot_00300	FIG01195530	177	25	177	protein kinase, putative
prot_00301	FIG01195530	182	25	182	protein kinase, putative
prot_00302	FIG01195530	69	10	69	protein kinase, putative
prot_00304	FIG01195530	134	19	134	protein kinase, putative
prot_00305	FIG01195530	177	27	177	protein kinase, putative
prot_00306	FIG01195530	288	39	288	protein kinase, putative
prot_00307	FIG01195530	906	139	906	protein kinase, putative
prot_00309	FIG01195551	162	24	162	FIG01195553: hypothetical protein
prot_00311	FIG01195551	65	10	65	FIG01195553: hypothetical protein
prot_00312	FIG00000148	136	22	136	SSU ribosomal protein S4p (S9e)
prot_00313	FIG01195812	51	9	51	FIG01195813: hypothetical protein
prot_00317	FIG00000372	317	47	317	ATP-dependent DNA helicase UvrD/PcrA
prot_00318	FIG00000372	173	25	173	ATP-dependent DNA helicase UvrD/PcrA
prot_00319	FIG01195880	113	16	113	FIG01195881: hypothetical protein
prot_00320	FIG01195880	42	7	42	FIG01195881: hypothetical protein
prot_00321	FIG00005149	58	8	58	Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase
prot_00322	FIG00005149	27	4	27	Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase
prot_00323	FIG00005149	71	10	71	Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase
prot_00324	FIG01584465	74	14	75	unique hypothetical
prot_00325	FIG01195514	199	31	199	FIG01195515: hypothetical protein
prot_00326	FIG00002328	53	8	53	Acyl carrier protein
prot_00327	FIG00000336	55	8	55	Cytosol aminopeptidase PepA (EC 3.4.11.1)
prot_00328	FIG00000336	69	11	69	Cytosol aminopeptidase PepA (EC 3.4.11.1)
prot_00329	FIG00000336	194	29	194	Cytosol aminopeptidase PepA (EC 3.4.11.1)
prot_00330	FIG00000287	49	7	49	Cell division protein FtsK
prot_00331	FIG00000287	141	20	141	Cell division protein FtsK
prot_00332	FIG00000287	169	24	169	Cell division protein FtsK
prot_00334	FIG00000287	53	8	53	Cell division protein FtsK
prot_00335	FIG00000287	66	11	66	Cell division protein FtsK
prot_00336	FIG00001316	78	12	78	Ribonuclease J2 (endoribonuclease in RNA processing)
prot_00337	FIG00001316	338	49	338	Ribonuclease J2 (endoribonuclease in RNA processing)
prot_00338	FIG01195579	229	35	229	ABC Transporter
prot_00339	FIG01195579	137	20	138	ABC Transporter
prot_00340	FIG01195579	29	4	29	ABC Transporter
prot_00341	FIG00834270	8	3	9	FIG065159: hypothetical 2 cooccurring with ATP synthase chains
prot_00342	FIG00000097	54	9	54	Phosphatidate cytidylyltransferase (EC 2.7.7.41)
prot_00343	FIG00000097	66	11	66	Phosphatidate cytidylyltransferase (EC 2.7.7.41)
prot_00345	FIG00000097	24	5	24	Phosphatidate cytidylyltransferase (EC 2.7.7.41)
prot_00346	FIG00000202	133	20	133	Ribosome recycling factor
prot_00347	FIG00001819	141	20	141	Uridine monophosphate kinase (EC 2.7.4.22)
prot_00348	FIG00001819	31	5	31	Uridine monophosphate kinase (EC 2.7.4.22)
prot_00349	FIG00000191	102	16	103	Translation elongation factor Ts
prot_00350	FIG00000191	23	4	23	Translation elongation factor Ts
prot_00351	FIG00148683	98	16	98	Ferrichrome transport system permease protein FhuB (TC 3.A.1.14.3)
prot_00352	FIG00148683	94	15	94	Ferrichrome transport system permease protein FhuB (TC 3.A.1.14.3)
prot_00353	FIG01195503	196	29	196	FIG01195506: hypothetical protein
prot_00354	FIG01195498	61	9	61	streptococcal hemagglutinin protein
prot_00355	FIG01195498	115	17	115	streptococcal hemagglutinin protein
prot_00356	FIG01195498	37	6	37	streptococcal hemagglutinin protein
prot_00359	FIG01196399	13	2	14	unique hypothetical
prot_00362	FIG01196424	21	6	22	unique hypothetical
prot_00363	FIG01400830	21	4	22	unique hypothetical
prot_00364	FIG01414612	30	7	30	unique hypothetical
prot_00365	FIG01639568	57	11	59	unique hypothetical
prot_00366	FIG00628107	64	10	64	Oligoendopeptidase F (EC 3.4.24.-)
prot_00367	FIG00628107	90	13	90	Oligoendopeptidase F (EC 3.4.24.-)
prot_00368	FIG00000039	85	15	85	Translation elongation factor Tu
prot_00369	FIG00000039	91	16	91	Translation elongation factor Tu
prot_00370	FIG00063189	102	15	102	Translation elongation factor G
prot_00371	FIG00063189	275	41	275	Translation elongation factor G
prot_00372		29	5	29	Translation elongation factor G
prot_00373	FIG00000209	30	5	30	SSU ribosomal protein S7p (S5e)
prot_00374	FIG00000209	78	11	78	SSU ribosomal protein S7p (S5e)
prot_00375	FIG00000203	101	15	101	SSU ribosomal protein S12p (S23e)
prot_00376	FIG01195994	68	10	68	Multiple banded antigen
prot_00377	FIG01195994	64	10	64	Multiple banded antigen
prot_00378	FIG01195979	221	32	221	FIG01195980: hypothetical protein
prot_00379	FIG01195979	93	14	93	FIG01195980: hypothetical protein
prot_00380	FIG01646976	31	5	31	CPG DNA methylase (EC 2.1.1.37)
prot_00381	FIG01646976	33	5	33	CPG DNA methylase (EC 2.1.1.37)
prot_00382	FIG01413689	67	10	67	recombinase
prot_00383	FIG01413689	59	8	59	recombinase
prot_00384	FIG01245035	88	14	89	D-Ribose 1,5-phosphomutase (EC 5.4.2.7)
prot_00385	FIG01245035	132	20	132	D-Ribose 1,5-phosphomutase (EC 5.4.2.7)
prot_00386	FIG00000720	97	14	97	Cytidine deaminase (EC 3.5.4.5)
prot_00387	FIG00135469	121	19	121	Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)
prot_00388	FIG00135469	75	13	75	Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)
prot_00389	FIG00906302	10	2	10	LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-dependent
prot_00390	FIG00000101	72	11	72	Threonyl-tRNA synthetase (EC 6.1.1.3)
prot_00391	FIG00000101	89	13	89	Threonyl-tRNA synthetase (EC 6.1.1.3)
prot_00392	FIG00000101	113	16	113	Threonyl-tRNA synthetase (EC 6.1.1.3)
prot_00393	FIG01196359	72	14	74	LSU ribosomal protein L33p
prot_00394		14	3	16	LSU ribosomal protein L33p
prot_00395	FIG00000093	40	6	40	tRNA pseudouridine synthase A (EC 4.2.1.70)
prot_00396	FIG00000093	64	9	64	tRNA pseudouridine synthase A (EC 4.2.1.70)
prot_00397	FIG00024851	161	25	161	Transmembrane component of general energizing module of ECF transporters
prot_00398	FIG00024851	41	7	41	Transmembrane component of general energizing module of ECF transporters
prot_00399	FIG00013638	202	32	202	ATPase component of general energizing module of ECF transporters
prot_00400	FIG00013638	90	14	90	ATPase component of general energizing module of ECF transporters
prot_00401	FIG00013638	72	11	72	ATPase component of general energizing module of ECF transporters
prot_00402	FIG00013638	87	14	87	ATPase component of general energizing module of ECF transporters
prot_00403	FIG00000264	169	27	169	LSU ribosomal protein L1p (L10Ae)
prot_00404	FIG00000182	111	17	111	LSU ribosomal protein L11p (L12e)
prot_00409	FIG01195820	36	6	36	FIG01195822: hypothetical protein
prot_00415	FIG00000399	34	5	34	Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)
prot_00416	FIG00000399	51	9	51	Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)
prot_00417	FIG00000399	130	19	130	Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)
prot_00418	FIG00000399	126	17	126	Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)
prot_00419	FIG00000359	370	54	370	Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)
prot_00420	FIG00000432	76	11	76	Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)
prot_00421	FIG00051957	30	4	30	Substrate-specific component FolT of folate ECF transporter
prot_00422	FIG00051957	80	13	80	Substrate-specific component FolT of folate ECF transporter
prot_00423	FIG00051957	44	7	44	Substrate-specific component FolT of folate ECF transporter
prot_00424	FIG00000538	42	6	42	Uracil-DNA glycosylase, family 1
prot_00425	FIG00000538	68	10	68	Uracil-DNA glycosylase, family 1
prot_00426	FIG01542663	6	2	7	unique hypothetical membrane lipoprotein
prot_00427	FIG01603194	24	7	25	unique hypothetical membrane lipoprotein
prot_00430	FIG01498020	23	7	25	unique hypothetical membrane lipoprotein
prot_00431	FIG00061313	22	5	22	Replicative DNA helicase (EC 3.6.1.-)
prot_00432	FIG00061313	51	9	51	Replicative DNA helicase (EC 3.6.1.-)
prot_00433	FIG00000205	108	16	108	LSU ribosomal protein L9p
prot_00435	FIG00077620	30	5	30	Single-stranded DNA-binding protein
prot_00436	FIG00077620	32	6	32	Single-stranded DNA-binding protein
prot_00437	FIG00000170	112	18	112	SSU ribosomal protein S6p
